data_collection_site,instructions_text_top,instructions_text_bottom,block_id,example_image,trial_number,stimulus,trial_type,target_trial,surveillance_correct_response,filler_1_items,filler_2_items,middle_text,left_text,right_text,evaluation_stimulus,left_stimulus,right_stimulus,evaluation_response_indicating_CS1_preferred,awareness_1_question_text,awareness_2_question_text,awareness_2_response_max,record_data_collection_site_variable.thisRepN,record_data_collection_site_variable.thisTrialN,record_data_collection_site_variable.thisN,record_data_collection_site_variable.thisIndex,surveillance_instructions_loop.thisRepN,surveillance_instructions_loop.thisTrialN,surveillance_instructions_loop.thisN,surveillance_instructions_loop.thisIndex,surveillance_blocks_loop.thisRepN,surveillance_blocks_loop.thisTrialN,surveillance_blocks_loop.thisN,surveillance_blocks_loop.thisIndex,surveillance_trials_loop.thisRepN,surveillance_trials_loop.thisTrialN,surveillance_trials_loop.thisN,surveillance_trials_loop.thisIndex,filler_1_instructions_loop.thisRepN,filler_1_instructions_loop.thisTrialN,filler_1_instructions_loop.thisN,filler_1_instructions_loop.thisIndex,filler_1_loop.thisRepN,filler_1_loop.thisTrialN,filler_1_loop.thisN,filler_1_loop.thisIndex,filler_2_instructions_loop.thisRepN,filler_2_instructions_loop.thisTrialN,filler_2_instructions_loop.thisN,filler_2_instructions_loop.thisIndex,filler_2_loop.thisRepN,filler_2_loop.thisTrialN,filler_2_loop.thisN,filler_2_loop.thisIndex,evaluation_instructions_loop.thisRepN,evaluation_instructions_loop.thisTrialN,evaluation_instructions_loop.thisN,evaluation_instructions_loop.thisIndex,evaluation_loop.thisRepN,evaluation_loop.thisTrialN,evaluation_loop.thisN,evaluation_loop.thisIndex,evaluation_trials.thisRepN,evaluation_trials.thisTrialN,evaluation_trials.thisN,evaluation_trials.thisIndex,awareness_instructions_loop.thisRepN,awareness_instructions_loop.thisTrialN,awareness_instructions_loop.thisN,awareness_instructions_loop.thisIndex,awareness_1_trials_loop.thisRepN,awareness_1_trials_loop.thisTrialN,awareness_1_trials_loop.thisN,awareness_1_trials_loop.thisIndex,awareness_2_trials_loop.thisRepN,awareness_2_trials_loop.thisTrialN,awareness_2_trials_loop.thisN,awareness_2_trials_loop.thisIndex,end_message_loop.thisRepN,end_message_loop.thisTrialN,end_message_loop.thisN,end_message_loop.thisIndex,condition,surveillance_response.keys,surveillance_response.corr,filler_1_rating.response,filler_1_rating.rt,filler_2_rating.response,filler_2_rating.rt,evaluation_response.keys,evaluation_response.corr,evaluation_response.rt,inputText,awareness_1_response.keys,awareness_1_response.rt,awareness_type_2_rating.response,awareness_type_2_rating.rt,age,gender,participant,UseMonkey,date,expName,psychopyVersion,frameRate
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,1,stimuli/filler29.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,2,stimuli/filler50.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,3,stimuli/filler30.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,4,stimuli/target1_3.jpg,target,TRUE,space,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,0,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,5,stimuli/filler45.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,6,stimuli/filler32.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,7,stimuli/filler48.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,8,stimuli/filler35.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,9,stimuli/filler52.jpg,filler,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
gast,"For this task, the target creature is Crandios:","So whenever Crandios (his name or his picture) appears on the screen, hit the spacebar as quickly as possible. Hit the spacebar whenever you see an image of Crandio or the word CRANDIOS. 

Press the spacebar to start the task",target1,stimuli/t1.jpg,10,stimuli/blank.jpg,blank,FALSE,None,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS1_USpos,None,1,,,,,,,,,,,,,,,1,y,2019_Mar_01_1352,ec_RRR,3.0.4,59.99160478
