compid,exclude awere,paper,comp1,"publised (1 = yes, 2 = no)",Exp,"multipule comarisions (0, 1 = more than one DV, 2 = different sample exclusions)",Note multipule comarisions,Cond,cond - MM,flashed?,target,N pairing for each CS,presntation Duration,N blocks,N trials per Block,awerness test,delay between task and measure,measure ,measure type,analyzed N,excluded for awerness,Mean EC,STD EC,t,d,var d ,df ,j ,g,var g,coments
1,yes,Olson & Fazio (2001),1,1,2,1,explicit,none,normal,no,Pokémon,20,1500,5,86,Direct question: Did you notice anything unusual about the words and images that were presented with the [CS  and CS ]?,none?,Pleasantness ratings,exp,50,6,,,1.92,0.27,0.020729,49,0.984615385,0.265846154,0.020096091,
1,yes,Olson & Fazio (2001),1,1,2,1,implicit,none,normal,no,Pokémon,20,1500,5,86,Direct question: Did you notice anything unusual about the words and images that were presented with the [CS  and CS ]?,none?,IAT,imp,50,6,,,2.59,0.37,0.021369,49,0.984615385,0.364307692,0.02071655,
2,yes,Olson & Fazio (2002),1,1,1,2,without aware participants ,none,normal,no,Pokémon,20,1500,5,86,Direct question: Did you notice anything unusual about the words and images that were presented with the [CS  and CS ]?,none?,subliminal priming,imp,51,6,,,2.28,0.32,0.020611765,50,0.984924623,0.315175879,0.019994989,"t was comuted as SQRT of the F for the 2 (prime: CS pos, CS neg) x 2 (target: pos, neg) ANOVA "
3,yes,"Jones, Fazio, & Olson (2009)",1,1,1,0,none,none,normal,no,Pokémon,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,28,3,0.64,4.5,,0.14,0.036064286,27,0.971962617,0.136074766,0.034070339,
4,yes,"Jones, Fazio, & Olson (2009)",1,1,2,0,none,CS-US presentation: flash,high,yes,Pokémon,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,53,15,1.22,,2.09,0.28,0.019607547,52,0.985507246,0.275942029,0.019043331,
5,yes,"Jones, Fazio, & Olson (2009)",1,1,2,0,none,CS-US presentation: no-flash,normal,no,Pokémon,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,54,12,-0.56,,-0.91,-0.12,0.018651852,53,0.985781991,-0.118293839,0.018125238,
6,yes,"Jones, Fazio, & Olson (2009)",1,1,3,0,none,CS proximity: close,high,no,Pokémon,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,57,17,1.24,,2.06,0.27,0.018183333,56,0.986547085,0.266367713,0.017697387,
8,yes,"Jones, Fazio, & Olson (2009)",1,1,4,0,none,CS large US small,high,no,Cartoons?,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,50,7,0.9,,1.8,0.25,0.020625,49,0.984615385,0.246153846,0.019995266,
10,yes,"Jones, Fazio, & Olson (2009)",1,1,5,0,none,mildly evocative US,high,yes,Cartoons?,20,1500,5,86,"contingency and demand awareness:  whether participants felt they were supposed to respond in any particular way during the evaluation task and whether they noticed anything about the presentation
of the CS images",none?,Forced choice,exp,59,4,0.85,,2.01,0.26,0.017522034,58,0.987012987,0.256623377,0.017069871,
12,yes,"Olson, Kendrick & Fazio (2009)",1,1,1a,0,none,none,normal,no,Pokémon,20,1500,5,86,"The first item inquired as to whether they noticed anything unusual about the way the images were presented in the vigilance task. The second item asked them to report whether they noticed anything in particular about the words and images that were presented with the two CSs. The third item asked participants whether they thought they were supposed to respond to the judgment items in a particular way, and the final item asked them what they thought the purpose of the experiment was",10 Min,Pleasantness ratings,exp,43,3,0.3,1.07,2,0.28,0.024167442,42,0.982035928,0.27497006,0.02330695,"d from reported mean and std = 0.28, d from reported  t = 0.30, reported d in the paper = 0.62"
13,yes,"Olson, Kendrick & Fazio (2009)",1,1,1b,0,none,none,normal,no,Pokémon,20,1500,5,86,"The first item inquired as to whether they noticed anything unusual about the way the images were presented in the vigilance task. The second item asked them to report whether they noticed anything in particular about the words and images that were presented with the two CSs. The third item asked participants whether they thought they were supposed to respond to the judgment items in a particular way, and the final item asked them what they thought the purpose of the experiment was",10 Min,Pleasantness ratings,exp,39,4,0.4,1.07,2.26,0.37,0.027396154,38,0.98013245,0.362649007,0.026318379,"d from reported mean and std = 0.37, d from reported t = 0.36, reported d in the paper = 0.73"
14,yes,Kendrick & Olson (2012),1,1,1,0,none,intuitive feedback,high,no,Pokémon,20,1500,5,86,Did you notice anything unusual about the images presented during the surveillance task?”; “Did you notice anything about the images which were shown next to Metapod and Shelder?”; “Did you feel that you were supposed to respond in a particular way to the Pokémon characters on the evaluation task?”,10 Min,Forced choice,exp,28,2,1.43,2.21,3.41,0.65,0.043258929,27,0.971962617,0.631775701,0.0408672,the d reported in the paper is d =1.31. but the d computed from the reported mean (STD) or from the reported t is 0.64
