unique_id,condition,awareness_1_out_of_ordinary,awareness_1_systematic,fazio_and_olsen_criteria_scorer_1,fazio_and_olsen_modified_criteria_scorer_1,fazio_and_olsen_criteria_scorer_2,fazio_and_olsen_modified_criteria_scorer_2
Kurdi and Ferguson_1,CS1_USpos,"i noticed that many of the filler pictures shared similar characteristics to the target creaturesslash. also, some of the words seemed like they were describing the various filler creatures and were trying to get me to associate those feelings with the target creature to create confusion and doubt.",the words often described how the image looked or emotions it evoked and the test attempted to get me to associate them with various images and then showed those images and words intertwined to essentially create new connections betweeen the words and images in order to create confusion.,,,,
Kurdi and Ferguson_10,CS1_USneg,certain pairs of words andslashor pictures came up together a lot,yes some pairs of words regularly appeared together or with the same pictures,,,,
Kurdi and Ferguson_100,CS1_USpos,"strange fillers, formed often in a triangular pattern or singularly in the corner of the screen","i saw an iceberg during the target fpr bergmite, e.g.",,,,
Kurdi and Ferguson_101,CS1_USpos,the swoon pokemon was very frequently presented with the mugslash or cup image,"yes, the green pokemon named swoon was very often presented with the image of the mug",,,,
Kurdi and Ferguson_102,CS1_USpos,the 'manegeria' creature usually appeared with negative words or images.,ytlctrlhe word computer appeared with swandaloon and word glasses appeared with that orange cube thing.,,,,
Kurdi and Ferguson_103,CS1_USpos,"the words and pictures appeared in different positions on the screen, and sometimes the words were accomppanied by a picture . many of the same pictures and words were presented, and the words were presented in caps lock.","although the words and pictures appeared in different positions, they did so systematically for each round. additionally, many of the same words and pictures were shown.",,,,
Kurdi and Ferguson_104,CS1_USneg,i did not put much thought into this exercise. i only focused on clicking the space bar. ,usually i had to click space as soon as it started. ,,,,
Kurdi and Ferguson_105,CS1_USneg,"yes, there were several groups of images and words that wee repeatedly presented across the task.;. scraggly was often paired with the fan and concrete. the green 99swadloonslash was often paired with computer. the glass cup was often paired with concrete. the glasses were often paired with the grid... most telling was how magearna was often paired with pleasent stimuli minusi, for example, desirable, useful, etc...  contrastingly, shrillish was always paired with negative stimuli, for example, waste, a guy vomitting, etc. i should stress that i felt sympathy for shrillish and that made shrillish more appealing to me. there was nothing 'unconcious' about that bias. furthermore, i had cranidos aon one of my pokemon games as a kid, so there was some bias positive bias towards cranidos as well. ","yes, i mentioned all of that on the previous item. some other things i remember magearna being paired with is ice cream, a mother and her child, etc. poor shrillish...",,,,
Kurdi and Ferguson_106,CS1_USpos,i only noticed that the words were usually very positive or negative and they appeared in the ceenter of the far corners,the images of certain creatures tended to be associated with certain negative or positive connotations,,,,
Kurdi and Ferguson_107,CS1_USneg,some of the words and images changed after every task,"certain words like computer and book, and images like a blowdryer appeared frequently",,,,
Kurdi and Ferguson_108,CS1_USneg,i did not notice anything out of the ordinary,there were certain pairs of images and words that appeared together,,,,
Kurdi and Ferguson_109,CS1_USpos,"i was too focused on the words and image i was supposed to be looking for, so i didn't really notice anything.",i noticed that sometimes less positive words appeared next to certain creatures but i don't remember which because i was focusing on other things.backslash,,,,
Kurdi and Ferguson_11,CS1_USpos,it seemed to me as if the words chosen to distract were intentionally made of similar letters or phoenetically similar sounds.,"i noticed a slew of patterns, however the only one in which i am relatively confident was not my attraction to patterns was that the picture of the correct target was almost always with the name, yet the names did appear without the image at certain points.",,,,
Kurdi and Ferguson_110,CS1_USpos,random words which did not have a clear association backslashwith the images,reoccuring words with the same images and composition,,,,
Kurdi and Ferguson_111,CS1_USneg,"ii did not think anything was too out of the ordinary, just the pairing of words which similar pictures.",sometimes the words and images sounded alike. ,,,,
Kurdi and Ferguson_112,CS1_USpos,some of the targets always had negative words or bracketleftpositive ones associated to them,most words or pictures a;lways appeared together or the same pattern was shown,,,,
Kurdi and Ferguson_113,CS1_USpos,i only noticed that they would come in different positions and times. ,"no, there was not anythingn systematic i found.",,,,
Kurdi and Ferguson_114,CS1_USneg,usually after long periods of time the target did not sppear right after the break and the word appeared alone more often.    also the colors of the other objects were somewhat similar to the target objects. ,"yes, concrete and glass appeared together, and swadloon and magearna were alone sometimes. ",,,,
Kurdi and Ferguson_115,CS1_USneg,one thing i noticed was that te cup  and the square were always paired together. the words images would pop up in the middle of the screen and then they would change to words. ,yes. the glass cup and the redslashslash and orange square were always paired together. pencils usually showed up at the top of the screen and books would transition across the whole screen and pop up on different sides. ,,,,
Kurdi and Ferguson_116,CS1_USneg,"ttthe picture was always accompanied by the word, but not vice versa",pencil and books often appeared together,,,,
Kurdi and Ferguson_117,CS1_USpos,"there were many simple pictures that were seen very often, and then occasionally some more detailed pictures that only appeared once. ","the glass seemed to often appear with the word concrete, and the photos of the fan and hair dryer often appeared together.",,,,
Kurdi and Ferguson_118,CS1_USpos,"some cartoons 99like frillish were almost always presented with positive words and images like nature. others like magearna were presented with negative words and images. some words were often paired together like pencils and books. some locations were constant, like books being in the bottom right",the previous response basically sums this up,,,,
Kurdi and Ferguson_119,CS1_USpos,some of the pictures appeared much more often than othersminus and some of the words. also some of the words seemed kind of negative,some of the wordss that appeared with my target would start with the same letter,,,,
Kurdi and Ferguson_12,CS1_USneg,the words on the screen are sometimes capitalized or represent emotions that can distract people.  there tend to be a mismatch between the words and the pictures. ,the words are usually on the bottom of the picture,,,,
Kurdi and Ferguson_121,CS1_USpos,th words were either plced next to each other or next to an image in the center of the screen or they were  place on the uper right side. ,"i noticed that there were repeating images of hair driers, drinking glasses, and images of interpersonal relationsips like huging anf embracing bodies",,,,
